-6.291764940263159360e+02 -2.850801268648435212e+02 1.209285619858531390e+03
-4.226472937491487301e+02 -1.933288494841143290e+02 8.185052523290145245e+02
-2.204413700762708288e+02 -1.013545528916268808e+02 4.222316093916063551e+02
1.595759976582505431e+02 7.310899687815214065e+01 -3.062268389959389765e+02
1.693278949680759240e+02 7.703644129887143777e+01 -3.259116521395584414e+02
2.539081448445846263e+02 1.151966631910739949e+02 -4.883535092862850888e+02
2.562784842758476316e+02 1.161503546772380986e+02 -4.921453142830554839e+02
1.755542031242471239e+02 7.989355549336346485e+01 -3.373066604279071612e+02
2.614637169295890544e+02 1.183994901894592147e+02 -5.022865146021849228e+02
4.245655254972684389e+01 1.948382864325170161e+01 -8.151914329300696238e+01
